Team,Opposition,Span,Mat,Won,Lost,Draw,Tied,Tie+W,Tie+L,NR,W/L,%W,%L,%D,%
Netherlands,v Afghanistan,2009-2023,10,2,8,0,0,0,0,0,0.25,20,80,0,20
Netherlands,v Australia,2003-2023,3,0,3,0,0,0,0,0,0,0,100,0,-
Netherlands,v Bangladesh,2010-2023,3,2,1,0,0,0,0,0,2,66.66,33.33,0,66.66
Netherlands,v Bermuda,2006-2009,7,6,1,0,0,0,0,0,6,85.71,14.28,0,85.71
Netherlands,v Canada,2006-2014,9,8,0,0,0,0,0,1,-,88.88,0,0,100
Netherlands,v England,1996-2023,7,0,7,0,0,0,0,0,0,0,100,0,-
Netherlands,v India,2003-2023,3,0,2,0,0,0,0,0,0,0,66.66,0,-
Netherlands,v Ireland,2006-2021,13,3,8,0,1,0,0,1,0.375,23.07,61.53,0,29.16
Netherlands,v Kenya,2007-2014,10,7,3,0,0,0,0,0,2.333,70,30,0,70
Netherlands,v Namibia,2003-2003,1,1,0,0,0,0,0,0,-,100,0,0,100
Netherlands,v Nepal,2018-2023,3,2,1,0,0,0,0,0,2,66.66,33.33,0,66.66
Netherlands,v New Zealand,1996-2023,5,0,5,0,0,0,0,0,0,0,100,0,-
Netherlands,v Oman,2023-2023,1,1,0,0,0,0,0,0,-,100,0,0,100
Netherlands,v Pakistan,1996-2023,7,0,7,0,0,0,0,0,0,0,100,0,-
Netherlands,v Scotland,2006-2023,12,4,7,0,0,0,0,1,0.571,33.33,58.33,0,36.36
Netherlands,v South Africa,1996-2023,8,1,6,0,0,0,0,1,0.166,12.5,75,0,14.28
Netherlands,v Sri Lanka,2002-2023,6,0,6,0,0,0,0,0,0,0,100,0,-
Netherlands,v United Arab Emirates,1996-1996,1,0,1,0,0,0,0,0,0,0,100,0,-
Netherlands,v United States of America,2023-2023,1,1,0,0,0,0,0,0,-,100,0,0,100
Netherlands,v West Indies,2007-2023,6,0,5,0,0,1,0,0,0,0,83.33,0,8.33
Netherlands,v Zimbabwe,2003-2023,7,3,4,0,0,0,0,0,0.75,42.85,57.14,0,42.85
New Zealand,v Afghanistan,2015-2023,3,3,0,0,0,0,0,0,-,100,0,0,100
New Zealand,v Australia,1974-2023,142,39,96,0,0,0,0,7,0.406,27.46,67.6,0,28.88
New Zealand,v Bangladesh,1990-2023,42,31,10,0,0,0,0,1,3.1,73.8,23.8,0,75.6
New Zealand,v Canada,2003-2011,3,3,0,0,0,0,0,0,-,100,0,0,100
New Zealand,v East Africa,1975-1975,1,1,0,0,0,0,0,0,-,100,0,0,100
New Zealand,v England,1973-2023,96,45,44,0,2,0,1,4,1.022,46.87,45.83,0,50.54
New Zealand,v India,1975-2023,117,50,59,0,1,0,0,7,0.847,42.73,50.42,0,45.9
New Zealand,v Ireland,2007-2022,7,7,0,0,0,0,0,0,-,100,0,0,100
New Zealand,v Kenya,2007-2011,2,2,0,0,0,0,0,0,-,100,0,0,100
New Zealand,v Netherlands,1996-2023,5,5,0,0,0,0,0,0,-,100,0,0,100
